1,Soil Series,Name,"Erodibility 
Class","Runoff
 Class  
",PSCG,N leaching,Type,Substrata,Modifier,"Soil 
Acidity
Group
",,1,,,,,,,Formula,N,P,K,,,N (Below),P(Below),K(Below),N(Above),P(Above),K(Above),"Fertilizer
Rec.",,,,,,,,,,
278,Los Guineos-LsD(H),Los Guineos,High,Medium,Medium,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Los Guineos-LsE(SJ),Los Guineos,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Los Guineos-LsE2(H),Los Guineos,High,High,Medium,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Los Guineos-LsF(SJ),Los Guineos,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Los Guineos-LsF2(H),Los Guineos,High,High,Medium,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Los Guineos-LuD2(M),Los Guineos,High,Medium,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Los Guineos-LuE(P),Los Guineos,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Los Guineos-LuF(P),Los Guineos,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Los Guineos-LuF2(M),Los Guineos,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Los GuineosLyF(H),Los Guineos,Very High,High,Medium,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Los Guineos-LyFX(P),Los Guineos/Maricao,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Los Guineos-LzFX(P),Los Guineos/Maricao,Very High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Mabi-MaA(SJ),Mabi,Low,Low,Low,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Mabi-MaB(H),Mabi,Medium,Medium,Low,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Mabi-MaB(M),Mabi,Medium,Medium,Low,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Mabi-MaB(SJ),Mabi,Medium,Medium,Low,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Mabi-MaC(SJ),Mabi,Medium,High,Low,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Mabi-MaC2(H),Mabi,Medium,High,Low,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Mabi-MaC2(M),Mabi,Medium,High,Low,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Mabi-MaD2(H),Mabi,High,High,Low,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Machete-McA(H),Machete,Low,Very Low,Medium,Low,L,L,dh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Machete-McB(H),Machete,Medium,Very Low,Medium,Low,L,L,dh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Machuelo-Ma(P),Machuelo,Very Lowow,Low,High,High,C,C,bg,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Maguayo-AmB(L),Maguayo*,Low,Low,Medium,High,L,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Maguayo-AmC2(L),Maguayo*,Medium,Medium,Medium,High,L,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Malaya-McF2(M),Malaya,Very High,High,Medium,Very Low,C,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Malaya-MlF(SJ),Malaya,Very High,High,Medium,Very Low,C,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Maleza-MdB(M),Maleza,Low,Very Low,Very Low,Medium,L,C,ae,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Mani-Mh(M),Mani,Very Low,Very Low,Medium,High,C,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Mani-Mn(M),Mani,Very Low,Very Low,Medium,High,C,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Maraguez-MaF2(A),Maraguez,Very High,High,Medium,Medium,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Maraguez-MeF2(P),Maraguez,Very High,High,Medium,Medium,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Maresua-MoD2(M),Maresua,High,Low,Medium,Medium,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Maresua-MoF2(M),Maresua,High,Medium,Medium,Medium,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Mariana-MaD2(L),Mariana,Very High,Low,Medium,Low,L,C,dh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Mariana-MaE2(L),Mariana,Very High,Medium,Medium,Low,L,C,dh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Mariana-MpD2(M),Mariana,High,Low,Medium,Low,L,C,dh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Mariana-MpE2(M),Mariana,Very High,Medium,Medium,Low,L,C,dh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Maricao-LyFX(P),Maricao,High,High,High,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Maricao-McF(A),Maricao,High,High,Medium,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Maricao-MkF2(P),Maricao,High,High,Medium,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Maricao-MoF(SJ),Maricao,High,High,Medium,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Maricao-MrF2(M),Maricao,High,High,Medium,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Martin Pena-Mp(SJ),Martin Pena,Very Low,Very Low,Very Low,High,L,L,g,AG 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Matanzas-MmF(A),Matanzas,Low,Low,Very High,Medium,C,C,ei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Matanzas-MnB(A),Matanzas,Low,Low,Very High,Medium,C,C,ei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Matanzas-MsB(M),Matanzas,Low,Low,Very High,Medium,C,C,ei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Matanzas-MsB(SJ),Matanzas,Low,Low,Very High,Medium,C,C,ei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Matanzas-MtB(M),Matanzas,Low,Low,Very High,Medium,C,C,ei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Maunabo-Me(H),Maunabo,Very Low,Low,Medium,High,C,C,gh,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Mayo-MlC(H),Mayo,Medium,Medium,Low,Medium,L,L,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Meros-Mr(P),Meros,Very Low,Very Low,Very Low,High,S,S,ed,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Meros-MrB(H),Meros,Very Low,Low,Very Low,High,S,S,ed,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Moca-MoC2(A),Moca,Medium,Medium,Medium,Very Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Moca-MoD2(A),Moca,High,Medium,Medium,Very Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Moca-MoE2(A),Moca,Very High,High,Medium,Very Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Moca-MuC2(M),Moca,Medium,Medium,Medium,Very Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Moca-MuD2(M),Moca,High,Medium,Medium,Very Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Moca-MuD3(M),Moca,High,Medium,Medium,Very Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Moca-MuE3(M),Moca,Very High,High,Medium,Very Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Montegrande-MsC(P),Montegrande,Medium,Medium,Low,High,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Montegrande-MtB(SJ),Montegrande,Medium,Low,Low,High,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Montegrande-MtC(SJ),Montegrande,Medium,Medium,Low,High,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Montegrande-MvC(M),Montegrande,Medium,Medium,Low,High,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Morado-MpF2(A),Morado,Very High,High,Medium,Low,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Morado-MtE2(P),Morado,Very High,High,Medium,Low,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Morado-MtF2(P),Morado,Very High,High,Medium,Low,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Morado-MuF2(SJ),Morado,Very High,High,Medium,Low,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Morado-MwD2(M),Morado,High,Medium,Medium,Low,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Morado-MwE2(M),Morado,Very High,High,Medium,Low,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Morado-MwF2(M),Morado,Very High,High,Medium,Low,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Mucara-MuD2(H),Mucara,High,Low,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Mucara-MuD2(P),Mucara,High,Medium,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Mucara-MuE(A),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Mucara-MuE2(H),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Mucara-MuE2(P),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Mucara-MuF(A),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Mucara-MuF2(P),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Mucara-MxC(M),Mucara,Medium,Medium,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Mucara-MxD(SJ),Mucara,High,Medium,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Mucara-MxD2(M),Mucara,High,Medium,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Mucara-MxE(SJ),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Mucara-MxE2(M),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Mucara-MxF(SJ),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Mucara-MxF2(M),Mucara,Very High,High,Medium,Very Low,L,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Naranjito-NaD2(SJ),Naranjito,High,Medium,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Naranjito-NaE2(H),Naranjito,High,High,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Naranjito-NaE2(SJ),Naranjito,High,High,Medium,Low,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Naranjito-NaF2(H),Naranjito,High,High,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Naranjito-NaF2(SJ),Naranjito,High,High,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Naranjo-NaD(A),Naranjo,Very High,High,Low,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Naranjo-NaD(M),Naranjo,High,High,Low,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Naranjo-NaE(A),Naranjo,Very High,Very High,Low,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Naranjo-NaF(A),Naranjo,Very High,Very High,Low,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Nipe-NcD2(M),Nipe,Medium,Low,Very High,Medium,C,C,hei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Palmarejo-PaA(L),Palmarejo,Low,Very Low,Low,Low,L,C,ade,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Palmarejo-PaB(L),Palmarejo,Low,Low,Low,Low,L,C,ade,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Palmarejo-PaC2(L),Palmarejo,Medium,Medium,Low,Low,L,C,ade,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Palmarejo-PaC2(M),Palmarejo,Medium,Medium,Medium,Low,L,C,ade,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Palmar-Pa(A),Palmar,Very Low,Very Low,Very Low,High,O,None,None,AG 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Pandura-PaD(SJ),Pandura,High,Low,Low,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Pandura-PaE(SJ),Pandura,Very High,Medium,Low,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Pandura-PaE2(H),Pandura,Very High,Medium,Low,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Pandura-PaF(SJ),Pandura,Very High,Medium,Low,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Pandura-PaF2(H),Pandura,Very High,Medium,Low,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Pandura-PdF(H),Pandura,Very High,Medium,Low,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Parcelas-PeC2(H),Parcelas,Medium,Medium,Medium,Very Low,C,C,h,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Paso Seco-PaB(P),Paso Seco,Medium,Medium,Medium,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Paso Seco-PlB(H),Paso Seco,Medium,Medium,Medium,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Patillas-PmD2(H),Patillas,High,Medium,Medium,Medium,L,C,ae,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Patillas-PmE2(H),Patillas,Very High,High,Medium,Medium,L,C,ae,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Pellejas-PeF(A),Pellejas,Very High,Medium,Medium,Medium,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Pellejas-PeF(SJ),Pellejas,Very High,Medium,Medium,High,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Pellejas-PeF2(P),Pellejas,Very High,Medium,Medium,Medium,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Perchas-PeD2(M),Perchas,High,High,Medium,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Perchas-PhC2(A),Perchas,Medium,High,Medium,Very Low,C,C,gh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Perchas-PhD2(A),Perchas,High,High,Medium,Very Low,C,C,gh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Picacho-GvF(H),Picacho,Very High,High,Medium,Low,L,R,ehg,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Plata-PlE2(M),Plata,Very High,High,Medium,Medium,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Plata-PlF2(M),Plata,Very High,High,Medium,Medium,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Poncena-PcB(L),Poncena,Medium,Medium,Medium,Very Low,C,C,dbv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Poncena-PcC2(L),Poncena,High,High,Medium,Very Low,C,C,dbv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Poncena-Po(H),Poncena,Low,Low,Medium,Very Low,C,C,dbv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Pozo Blanco-PoA(L),Pozo Blanco,Low,Low,Medium,Medium,L,R,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Pozo Blanco-PrC2(H),Pozo Blanco,Medium,Medium,High,Medium,L,R,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Pozo Blanco-PzB(L),Pozo Blanco,Medium,Low,High,Medium,L,R,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Pozo Blanco-PzC(L),Pozo Blanco,Medium,Medium,High,Medium,L,R,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Pozo Blanco-PzD(L),Pozo Blanco,High,Medium,High,Medium,L,R,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Quebrada-QeD2(P),Quebrada,High,Medium,Medium,Low,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Quebrada-QeE2(P),Quebrada,Very High,High,Medium,Low,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Quebrada-QeF2(P),Quebrada,Very High,High,Medium,Low,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Quebrada-QuD2(M),Quebrada,High,Medium,Medium,Low,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Quebrada-QuE2(M),Quebrada,Very High,High,Medium,Low,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Quebrada-QuF2(M),Quebrada,Very High,High,Medium,Low,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Reilly-Re(A),Reilly,Very Low,Very Low,Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Reilly-Re(H),Reilly,Very Low,Very Low,Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Reilly-Re(M),Reilly,Very Low,Very Low,Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Reilly-Re(P),Reilly,Very Low,Very Low,Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Reilly-Re(SJ),Reilly,Very Low,Very Low,Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Reparada-Rp(H),Reparada,Very Low,Very Low,Medium,High,C,C,bg,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Rio Arriba-RoB(SJ),Rio Arriba,Medium,Low,Medium,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Rio Arriba-RoC2(SJ),Rio Arriba,Medium,Medium,Medium,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Rio Arriba-RrB(H),Rio Arriba,Medium,Low,Medium,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Rio Arriba-RrC2(H),Rio Arriba,Medium,Medium,Medium,Very Low,C,C,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Rio Lajas-RlB(M),Rio Lajas,Low,Very Low,Very Low,High,S,L,e,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Rio Lajas-RlC(A),Rio Lajas,Medium,Very Low,Very Low,High,S,L,e,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Rio Piedras-RpC2(M),Rio Piedras,Medium,Medium,High,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Rio Piedras-RpD2(M),Rio Piedras,High,Medium,High,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Rio Piedras-RpD2(SJ),Rio Piedras,High,Medium,High,Medium,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Rio Piedras-RpE2(SJ),Rio Piedras,High,High,High,Medium,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Rio Piedras-RpF2(SJ),Rio Piedras,High,High,High,Medium,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Rosario-RsD2(M),Rosario,High,Medium,Very High,Low,C,C,ehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Rosario-RsE2(M),Rosario,Very High,High,Very High,Low,C,C,ehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Rosario-RsF2(M),Rosario,Very High,High,Very High,Low,C,C,ehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Sabana Seca-SaB(A),Sabana Seca,Medium,Medium,Medium,High,C,C,gh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Sabana Seca-ScB(SJ),Sabana Seca,Medium,High,Medium,High,C,C,gh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Sabana-SaE2(H),Sabana,Very High,High,Medium,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Sabana-SaF(SJ),Sabana,Very High,High,Medium,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Sabana-SaF2(H),Sabana,Very High,High,Medium,Very Low,L,R,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Saladar-Sm(SJ),Saladar,Very Low,Low,Very Low,High,O,None,None,AG 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,San Anton-Sa(L),San Anton,Low,Very Low,Medium,Medium,L,L,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,San Anton-Sa(P),San Anton,Low,Very Low,Medium,Medium,L,L,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,San Anton-Sc(L),San Anton,Low,Very Low,Medium,Medium,L,L,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,San Anton-Se(L),San Anton Varia,Low,Very Low,Medium,Medium,L,L,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,San German-RsF(A),San German,Very High,Medium,High,Very Low,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,San German-SaD(M),San German,High,Low,High,Very Low,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,San German-SaE(M),San German,Very High,Medium,High,Very Low,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,San German-ScB(M),San German,Medium,Very Low,Medium,Very Low,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,San German-SgD(A),San German,High,Low,High,Very Low,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,San German-SgD(L),San German,High,Low,Medium,Very Low,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,San German-SgF(A),San German,Very High,Medium,High,Very Low,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,San German-SgF(L),San German,Very High,Medium,Medium,Very Low,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,San German-SmE(L),San German,Very High,Medium,High,Medium,L,R,bd,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,San Sebastian-SdF2(M),San Sebastian,Very High,High,Very High,High,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,San Sebastian-SmF(A),San Sebastian,Very High,High,Very High,High,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Santa Clara-SeB(M),Santa Clara,Medium,Low,Medium,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Santa Clara-SnC(A),Santa Clara,Medium,Low,Medium,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Santa Isabel-Sn(L),Santa Isabel,Low,Medium,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Santa Marta-SmE2(M),Santa Marta,Very High,High,Very High,Low,C,C,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Santoni-Sn(M),Santoni,Very Low,Low,Medium,High,C,C,bg,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Serrano-Se(P),Serrano,Very Low,Very Low,Very Low,High,S,L,gs,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
