1,Soil Series,Name,"Erodibility 
Class","Runoff
 Class  
",PSCG,N leaching,Type,Substrata,Modifier,"Soil 
Acidity
Group
",,1,,,,,,,Formula,N,P,K,,,N (Below),P(Below),K(Below),N(Above),P(Above),K(Above),"Fertilizer
Rec.",,,,,,,,,,
30,Almirante-AmB(SJ),Almirante,Medium,Low,High,Medium,C,C,ae,AG 3,,Ponce,,,,,,,12-06-08,12,6,8,,Cucumber,200,22,41,150,,,"Micronutrient fertilization would be needed if you observe any deficiency symptoms or if soil pH is higher than 6.2. If nutrients levels are low, apply pre-planting fifty pounds per acre of N, 22 lb P/acre, and 41 lb K/acre using a fertilizer in granular form (500 lb/ac formula 10-10-10 or a similar one) and the rest of N via fertigation. On surface or trickle irrigated field apply 100 lb/acre of N at pre-planting and after first harvesting. ",,,,,,,,,,
31,Almirante-AmC(A),Almirante,Medium,Medium,Medium,Medium,C,C,ae,AG 3,,Humacao,,,,,,,12-06-06,12,6,6,,Eggplant,150,100,125,150,20,20,Micronutrient fertilization would be needed if you observe any deficiency symptoms or if soil pH is higher than 6.2. On non fertigated field apply 100 lb/acre of N at pre-planting and at flowering season. ,,,,,,,,,,
32,Almirante-AmC(SJ),Almirante,Medium,Medium,High,Medium,C,C,ae,AG 3,,San German,,,,,,,12-06-08,12,6,8,,Grassland (Improved varieties),300,44,171,300,,,Split in four applications using a fertilizer formula 15-5-10 or a similar one on soils with low soil test values.,,,,,,,,,,
33,Almirante-AnB(A),Almirante,Medium,Low,High,Medium,C,C,ae,AG 3,,Virgin Islands of the United States,,,,,,,12-06-10,12,6,10,,Hayland (Improved varieties),330,48,189,330,,,Split in four applications using a fertilizer formula 15-5-10 or a similar one on soils with low soil test values.,,,,,,,,,,
34,Almirante-AnC(A),Almirante,Medium,Medium,High,Medium,C,C,ae,AG 3,,,,,,,,,12-06-16,12,6,16,,Mango 4 Yrs or Less (LD),22,5,12,22,,,"Split in two applications at a rate of 2 lb and 2.5 lb per tree 6 months after each one using the formulas 12-6-8, 8-6-10 or a similar one on soils with low soil test values.  ",,,,,,,,,,
35,Alonso-AnE2(P),Alonso,High,High,High,Medium,C,C,ae,AG 3,,,,,,,,,12-08-16,12,8,16,,Mango 8 Yrs or Less (LD),74,16,40,74,,,"Apply to high productivity plantation at a rate of 15 lb per tree using the formulas 12-6-8, 8-6-10 or a similar one on soils with low soil test values. Reduce application rate for a low productivity plantation.   ",,,,,,,,,,
36,Alonso-AnF2(P),Alonso,High,High,High,Medium,C,C,ae,AG 3,,,,,,,,,12-12-24,12,12,24,,Mango 4 Yrs or Less (HD),59,13,32,59,,,"Split in two applications at a rate of 2 lb and 2.5 lb per tree 6 months after each one using the formulas 12-6-8, 8-6-10 or a similar one on soils with low soil test values.  ",,,,,,,,,,
37,Alonso-AoD2(A),Alonso,Medium,Medium,High,Medium,C,C,ae,AG 3,,,,,,,,,15-02-08,15,2,8,,Mango 8 Yrs or Less (HD),196,42,107,196,,,"Apply to high productivity plantation at a rate of 15 lb per tree using the formulas 12-6-8, 8-6-10 or a similar one on soils with low soil test values. Reduce application rate for a low productivity plantation.   ",,,,,,,,,,
38,Alonso-AoE2(A),Alonso,High,High,High,Medium,C,C,ae,AG 3,,,,,,,,,15-03-15,15,3,15,,Onion,200,22,41,150,,,"Micronutrient fertilization would be needed if you observe any deficiency symptoms or if soil pH is higher than 6.2. If nutrients levels are low apply pre-planting fifty pounds per acre of N, 22 lb P/acre, and 41 lb K/acre using a fertilizer in granular form (500 lb/ac formula 10-10-10 or a similar one) and the rest of N via fertigation. On surface or trickle irrigated field apply 100 lb/acre of N at pre-planting and after first harvesting. ",,,,,,,,,,
39,Alonso-AoF2(A),Alonso,High,High,High,Medium,C,C,ae,AG 3,,,,,,,,,15-05-10,15,5,10,,Papaya,248,107,205,248,,,"Apply 2 oz per plant of fertilizer 15-15-15 or a similar one on soils with low soil test values after transplant, increase this rate by 1 oz every 4 to 8 weeks up to the flowering season. Apply 0.5 lb per plants of similar fertilizer during the harvesting season every 4 to 8 weeks.",,,,,,,,,,
